,title,Achievement_rate,amount,people
6212,三体日历新春礼包|三体小说正版周边,974%,97430.0,1315
6213,战神刑天—CF/王者荣耀散热充电手游外设,431%,862171.0,6915
6214,爱媛38号，橘中小妖精，追忆东京爱情故事,130%,65470.0,914
6215,IN-M智能电动牙刷 APP互联蓝光消毒,247%,123899.0,263
6216,可以暖手的潮玩 布尔熊科技手造,1110%,1110906.0,3794
6217,让近视运动更轻松，磁吸绑带运动眼镜不滑落,603%,60372.0,79
6218,中华老字号，百年老店的睡眠滋养神器,278%,27853.0,170
6219,龙泉沈广隆宝剑 百年剑铺 古法锻制承影剑,658%,329030.0,318
6220,DING TIME：可私人定制的智能手表,566%,1132356.0,1447
6221,博牌“二合一”简绎生活拉杆背包,321%,321740.0,863
6222,小毛兔富氢杯 随时随地改变水质 颠覆你对喝水的想象,1019%,1019774.0,465
6223,爱娅欧奢华智能指纹锁手提包,512%,1024100.0,603
6224,General Project 01手表,209%,104706.0,147
6225,贝恩施儿童麦克风  无线蓝牙掌上KTV,104%,52395.0,25
6226,滚床单之前必备神器！,820%,1641410.0,13943
6227,良白［回］纸巾盒，极简设计，让美回归日常,170%,170294.0,1200
6228,OISLE小轻新二代4500mAh便携极速充电宝,706%,353469.6,14941
6229,德国ReAir空气净化器金砖定制版除甲醛,557%,1115091.0,559
6230,刀剑神域剧场版正版周边众筹,284%,142251.0,1957
6231,启迈斯Mini Walk平板式智能跑步机,2300%,4601642.0,3018
6232,美国西屋智能马桶盖|新升级，新体验,1599%,1599530.0,595
6233,茶的芬芳遇上茉莉的清香,8723%,872392.0,9024
6234,孩子无论在那儿 想见就见 4G视频儿童手表,206%,1034509.0,2096
6235,互联时代--海尔物联网智能恒温调奶器,107%,107284.0,97
6236,DAX真皮卡包——抽拉设计的超薄口袋卡包,189%,189566.0,950
6237,安全加倍，多灵智能指纹锁震撼来袭,1500%,3000140.0,1960
6238,五行锡镶紫砂茶具 失落的老手艺,116%,58222.0,89
6239,一幅山水画（挂钟）山水间,290%,290174.0,1145
6240,努比亚M2畅玩版金属超薄摄影手机,106%,213427.0,273
6241,一款有逼格的香炉+笔架摆件,111%,55597.0,123
6242,一把神奇的椅子,1244%,1244576.0,2771
6243,南方人参化橘红，结合古树普洱，养生与品味的碰撞！,206%,144626.4,1412
6244,MONKEYMAN第二代防镜片起雾口罩,229%,229608.0,5763
6245,让iPhone无线充电时代提前到来,101%,202776.0,372
6246,拥抱大自然其实并不难-古玛空气净化蘑菇灯,1003%,1003667.0,3040
6247,kumamon表情包长袖卫衣套装全网首发,100%,50428.0,52
6248,莲若实木音箱 |  拥有它，你就拥有一片世外桃源,181%,181818.0,248
6249,PIXLEY（蝶）专为即时拍摄，随时分享,129%,259740.0,260
6250,魔鬼猫魔烟电子烟，无害有颜,527%,1054756.0,11370
6251,布衣传说×冯小刚《芳华》官方正版授权服饰,342%,34274.0,73
6252,冯小刚电影《芳华》联名款留声机,119%,59775.0,22
6253,kumamon熊本熊正版床单全网首发,101%,50694.0,16
6254,冯小刚电影《芳华》授权款燕居藜麦燕窝,262%,52505.0,74
6255,来自未来的智能立方体积木,324%,129690.0,733
6256,小蘑菇D2家居母婴灯,420%,420428.0,976
6257,时间机器 x《芳华》个性定制腕表,113%,113189.0,161
6258,用玉米做的衣服 【植物提炼生物绒】儿童亲子保暖服,612%,919156.0,11112
6259,芳华时代告白·入古定制复古文创礼盒套装,960%,96018.0,82
6260,懒懒瘦x冯小刚《芳华》授权款青汁酵素,132%,13243.0,18
6261,良生×冯小刚《芳华》授权款青瓷车载香薰,431%,215594.0,1480
6262,大圣归来 主题系列多功能腰凳首发,137%,68862.0,338
6263,徕声RT-1圈铁耳机，秒变蓝牙超级续航!,211%,423866.0,1760
6264,冯小刚电影《芳华》定制款报喜鸟刺绣衬衫、方巾,234%,117407.0,22
6265,冯小刚电影《芳华》授权款U视一号眼罩,352%,105684.0,156
6266,布符×冯小刚《芳华》联名款旗袍丨风情万种,165%,82644.0,54
6267,冯小刚电影《芳华》授权款博友青春钛鲜杯,1055%,105552.0,70
6268,脉冲光双头脱毛仪 轻松解决脱毛烦恼,259%,519461.0,498
6269,红舞鞋结缘《芳华》 官方正版授权珍藏舞鞋,100%,50144.0,551
6270,INNERNEED第三代电子烟 以小制胜 大有可为,4636%,4636225.0,65852
6271,ZHIFU几何防盗随身包,2515%,5030570.0,12327
6272,秋冬吃蜜！新疆阿勒泰，2017国标新巢蜜,224%,224450.0,3023
6273,实木桦木月亮衣架,215%,21580.0,90
6274,西泠书怀便携印章 一款更懂你的印章,333%,166958.0,501
6275,分分钟茶叶电影《芳华》定制油切袋泡茶,256%,128486.0,374
6276,冯小刚电影《芳华》授权款杰境有机乌龙茶,100%,50123.0,97
6277,诺思巴洛克美瞳隐形眼镜日抛5/30片装,245%,245209.0,5291
6278,冯小刚电影《芳华》授权款 OTB纯露香薰,202%,101403.0,201
6279,冯小刚电影《芳华》授权款左情右爱粗粮玉米片,378%,37867.0,52
6280,【高端典藏】隐世普洱，珍稀陈香,168%,84315.0,541
6281,小钻风3陀螺 三国纵横套装,111%,55843.2,362
6282,蝴蝶小凳，伴我成长——实用又有趣的小板凳,228%,228544.0,589
6283,时尚智能，可触控的瑞士腕表,359%,719600.0,990
6284,这「件」小事替你略表孝心，回馈双亲,1025%,1025913.0,1332
6285,纪皙妍×冯小刚《芳华》联名限定口红礼盒,286%,143125.0,213
6286,冯小刚电影《芳华》授权款纯手工紫砂盖碗,281%,140940.0,240
6287,艺福堂 X《芳华》联名限定款玫瑰黑糖姜茶,109%,54787.0,584
6288,街边遇袭重拳反击，两三个歹徒近不了你身,349%,174509.0,22002
6289,BUIEJDOG太阳能磁吸式车载蓝牙耳机,104%,208284.0,80
6290,守护时光，钢间木质手表,344%,172186.0,417
6291,虎子车模三周年限量版纪念套装,179%,179201.0,10817
6292,「律鸟」会跳舞的U盘,400%,400556.0,4028
6293,JUlaVIE 一台不用清洗的榨汁机,833%,1666323.0,1102
6294,“零式” HI-FI级无线桌面音响,2903%,2903091.0,42117
6295,kumamon电动牙刷全网首发,103%,51639.0,75
6296,「星辰」无线充电套装 黑科技全家能量站,328%,328252.0,1653
6297,魔鬼猫 音魔蓝牙音箱分离式设计适用不场景,217%,217488.0,105
6298,【闪闪惹人爱】你没见过的夜光花瓶,110%,110234.0,1308
6299,大嘴猴月饼系列全网首发,101%,101424.0,70
6300,咕咚智能运动BRA,161%,161367.0,513
6301,三国英雄传《关云长》,116%,58226.0,177
6302,Pancoat小黄鸭系列月饼全网首发,100%,100282.0,71
6303,共享净水器 2元就购了 终身保用 只换不修,5065%,10130430.2,42338
6304,Q弹，肥美，柔韧，如果爱鱿鱼请不要犹豫,185%,92800.2,684
6305,飞利浦创新之作真无线蓝牙耳机,105%,210995.0,505
6306,博思尼Z5 虚拟现实AR智能弓,159%,477110.0,238
6307,一面时间一面光，闹钟与夜灯之间的随意翻转,242%,121223.0,651
6308,时尚奔跑者，用颜值和实力颠覆家庭运动,105%,105516.0,19
6309,淘宝美工职业技能培训，双11直击引流爆点,107%,107861.7,303
6310,万圣节南瓜小夜灯创意巫师硅胶灯拍拍感应灯,103%,51839.0,171
6311,悉罗超薄智能扫地机器人，低矮空间清扫专家,609%,609120.0,584
6312,会挣钱的面膜机，让美更健康、 让爱更天然！,617%,1234924.0,11316
6313,移康智能猫眼A29远程Wifi可视门铃,694%,1389973.0,528
6314,失眠、颈椎不适必备神器-石墨烯黑科技催眠枕,908%,454458.0,481
6315,【英国儿科专家推荐】多功能吸鼻器美肤仪,210%,210522.0,227
6316,"芯净界植物抗菌防雾霾口罩,带你体验鼻尖上的森林",2069%,1034847.9,22061
6317,一边暖手一边充电两不误，暖冬利器一举两得,289%,578160.0,4343
6318,来自东方手艺人的书写传承,104%,52428.0,171
6319,太白提梁壶——宜兴原矿紫砂,231%,115646.0,552
6320,金指码互联网智能指纹锁-招募500名首席试用官,125%,250700.0,58
6321,朋克蒸汽复古机械键盘,151%,75664.0,409
6322,席琳·迪翁TIMBRE旅行箱,101%,50635.0,65
6323,精灵猫无线蓝牙炫拍神器,971%,485852.0,7139
6324,霜降开山茶 凤凰单丛 雪片鸭屎香,515%,309084.0,2503
6325,日本CI透气牙刷盒齿科级【送CI软毛牙刷】,101%,50950.0,248
6326,留住青春（芳华）唯有越陈越香的普洱茶，电影正版授权,196%,98009.0,681
6327,emoi基本生活 智能鸟屋音响灯,104%,52221.0,102
6328,【智能定位书包】孩子安全的守护神！,340%,340195.0,1875
6329,决不做表层的舒爽--纳米浅光颈椎按摩仪,1570%,3141194.0,15219
6330,四位非遗传承人打造，非遗书法套装,383%,383466.0,1478
6331,专属你的移动休息间-鸵鸟充气枕,246%,246650.0,565
6332,2018穷游台历首发 旅行周历手账,295%,295774.0,2917
6333,开启你的护眼SPA--蒲尔菲智能眼部按摩仪,1312%,1312321.0,4854
6334,UCHEER友好Q8除味盒,1352%,1352142.0,11150
6335,雾霾季 高效防雾霾智慧口罩通风器,506%,1013280.0,4864
6336,官方授权【战狼2】子弹头老工匠纯手工打造,303%,151662.0,8841
6337,XE版美国NCREDIBLE1无线耳机,371%,742453.0,1958
6338,《等风来》雕塑艺术珍品，最艺术的礼物,125%,62964.0,22
6339,AR版快乐西游①齐天大圣,234%,23454.0,43
6340,给孩子的第一台望远镜 耐摔防水 高清护眼,133%,66959.0,186
6341,【会说话的汤姆猫】iPhone手机壳首发,101%,20358.0,522
6342,会说话的汤姆猫官方正版轻版充电宝全网首发,104%,31271.0,239
6343,会说话的汤姆猫官方正版周边呆萌汤姆猫工牌,108%,21647.0,523
6344,会说话的汤姆猫官方正版周边棒球帽全网首发,114%,22859.0,361
6345,你的国名洗碗机 不让洗洁精危害你的双手,124%,124848.0,642
6346,益智早教机器人智能 故事机,150%,150988.0,806
6347,你的智能移动KTV，随时随地当麦霸,184%,369259.0,1800
6348,俄罗斯美味--提拉米苏,1275%,637866.0,13038
6349,巴西哈瓦那55周年复古签名限量礼盒,103%,51600.6,263
6350,让每个孩子都能开开心心刷牙,102%,308982.0,3067
6351,Motlun超能力毛巾，感知不可见细菌,1012%,1012640.0,11417
6352,亿健精灵Magic语音AI智能跑步机,1745%,3491320.0,719
6353,这个秋天，你缺一款装进口袋刚好的牛皮钱包,197%,197631.0,2627
6354,这次糯米不再软弱，他硬了！冉屿糯米锅巴,250%,125313.0,785
6355,2代摩天测距仪60米量程2毫米精度小神器,426%,426412.0,1947
6356,Cuddledown拥软-95%鹅绒抱枕,143%,71617.0,491
6357,带你，「穿越场景」的跨界潮包！,2311%,2311770.0,7710
6358,1Zpresso便携咖啡品牌—手摇磨豆机,338%,169282.0,399
6359,来自云南深处的昭通小草坝鲜天麻，滋补药膳,233%,23315.0,141
6360,中秋礼遇【突尼斯软籽甜石榴】出汁率92.6%,177%,17700.0,128
6361,142年传承9年坚守，一把沉淀历史的铜壶,223%,111620.0,101
6362,英国灯大师——放大镜概念护眼台灯,2775%,2775581.0,47028
6363,北欧极简主义 绵羊杯垫摆件,108%,54042.0,164
6364,PAC-MAN X HIPANDA 联名,137%,27540.0,55
6365,Mr.X磁悬浮声波电动牙刷-告别手刷时代,366%,183445.0,1543
6366,ROTUS五合一护目套镜，定义眼镜新风尚,532%,532810.0,3760
6367,"掌心的小妖精,超薄迷你黑科技电子烟",155%,311296.0,2547
6368,装进背包的折叠电动滑板，颠覆你的出行方式,3720%,3720790.0,7825
6369,远程控制智能逗猫机器人,100%,100301.0,23
6370,WESMART智能内裤-男人的加油站,2119%,2119198.0,5379
6371,手机一闪开门  创新黑科闪易光门禁,500%,1000110.0,1094
6372,Gululu Talk语音版水杯，喝水还能这么玩！,631%,1262996.0,5527
6373,不一样的光学护眼仪-3D移动光学护眼仪,1064%,2129291.0,11581
6374,智能跑步/游泳蓝牙耳机内置8G音乐播放器,979%,979448.0,3042
6375,桌面与抽屉内 办公用品同步收纳空间,107%,53671.0,317
6376,小吉水珠壁挂洗衣机—— 一眼惊叹 美智纯净,2114%,2114469.0,636
6377,高性价比新款电子烟健康戒烟蒸汽烟,177%,354910.2,2925
6378,五合一多功能儿童浴盆浴桶组合,470%,470690.0,1776
6379,中秋榴莲控特别的爱【榴莲芝士冰皮月饼】,102%,10266.0,13
6380,向平淡和柔弱开战，MAS CARNEY智能腕表M9,500%,1000677.0,652
6381,听月饼，尝乡音，桃园眷村“因月会”,103%,103212.0,348
6382,峨眉雪芽 中秋有您更团圆,234%,23487.0,132
6383,美甲也有黑科技，引爆全民亮甲时尚！,930%,930041.0,29327
6384,铜师傅 铜木主义 塞尚卧室家具,9776%,9776544.0,1756
6385,智能胎心仪——爸爸妈妈更放心,264%,528399.0,1081
6386,吊丝兔智能监控，看家安防尽在掌握,1005%,1005537.0,2396
6387,#永不落伍的潮范雨伞#，潮范豹子头晴雨伞,891%,891906.0,3711
6388,普洱茶礼-把月亮摘下来送给你,108%,21632.0,146
6389,来自中国古铜都的【招财猫】全网首发,105%,52981.0,109
6390,挥舞双钳 只为遇见你——阳澄湖大闸蟹,119%,119654.0,82
6391,非物质遗产民族传承——绣花老粗布四件套,1051%,525794.0,863
6392,运动健身，你该为自己备一副高定护膝！,134%,670155.0,1845
6393,哆萌城市电单车-骑行快乐 发现美好,103%,103243.0,58
6394,Nox减压助眠灯，悦睡越美,103%,206678.0,602
6395,会哄孩子睡觉的儿童陪伴魔法灯,506%,1012753.0,2306
6396,Worldern，会唱歌的海螺音响灯,217%,217986.0,1119
6397,TV BOOK电视学习机-让全家一起学习,134%,134770.0,137
6398,IDMIX幻影音箱灯-伴着柔光灯光&美妙音乐入睡,350%,701794.0,2545
6399,AMIRO高显色日光镜-专为彩妆护肤研发,523%,523095.0,1256
6400,TITA，可以保护隐私的临时停车号码牌,307%,307218.0,3926
6401,插座式智能空气检测仪,106%,213514.0,1198
6402,弧光点火器告别传统，更绅士的点火方式,454%,908743.0,10547
6403,折叠飞行器－可折叠的四轴航拍无人机,113%,113105.0,223
6404,Cozy宠物碗，爱它就给它好的,101%,101412.0,188
6405,WoodCam复古原木相机，留住真实的你,107%,107800.0,45
6406,CiCHi喜器，遇见幸福，遇见你,101%,101520.0,88
6407,中式马卡龙磨牙小妖精，冉屿红糖小酥饼,338%,169317.0,930
6408,偶遇一款潮范包 气质出行,236%,236565.0,1330
6409,【收藏级】美国IDEA奖，无涂层定制铁壶,2234%,2234441.0,23547
6410,柚柚切克闹，我的满城尽带黄金甲,113%,56593.6,1212
6411,中秋特色礼品——黑花生礼盒,102%,51428.7,4846
6412,30秒就能深层净齿的智能电动牙刷,3397%,3397390.0,40861
6413,Ola mini智能抽屉柜锁 你们的秘密由我来守护,195%,195411.0,448
6414,softide：4步助眠，一张你值得拥有的智能床,3480%,3480842.0,561
6415,瑞典设计，WQ智能运动手表,567%,1135442.0,2112
6416,美的智能空气盒子、智慧与颜值并存,102%,204738.0,171
6417,快给你的家净净！净物志母婴级安全光触媒喷雾,2041%,2041996.0,34251
6418,CREVIV 锋芒钱包卡包,142%,142882.0,832
6419,连建英作品，中西陶瓷艺术的结晶：骨瓷,100%,50489.0,282
6420,【血压黑科技】电极测血压和心电图智能手表,223%,446406.0,987
6421,益佑盛桌面红外遥控排插usb智能识别插座,107%,107423.0,168
6422,【养鱼黑科技】吉印智能PH在线监测仪，一步变智能,118%,118954.0,361
6423,锡镶手把壶宜兴紫砂 纯手工民间技艺,138%,69122.0,81
6424,荀品20年，让您喝到一杯更纯粹的普洱老茶,185%,92952.4,871
6425,熟悉的味道——万隆家乡南肉,106%,53415.6,644
6426,【简易洗车】带应急启动电源的便携洗车神器,1024%,2048458.0,15203
6427,你随身的智能健身教练,1000%,2001400.0,3075
6428,《蜘蛛侠：英雄归来》品漫会正版授权衍生品,234%,23455.6,379
6429,TCL德国工艺一键式智烘 洗完即可穿,238%,238303.0,97
6430,【香冠月饼】滇式月饼代表之作耗时45年,121%,60870.0,529
6431,妙小喜新潮夫妇系列，关于爱情我们有话说。,108%,54288.0,581
6432,【HST环磁】 竹与磁原创刀架,108%,54139.0,225
6433,开湖品蟹---阳澄湖大闸蟹,1495%,747700.0,3050
6434,【虎牌x黑豹乐队】致敬系列合作款保温杯,224%,337028.0,869
6435,北通阿修罗2游戏手柄|拾梦老人版,139%,13989.0,42
6436,多功能一体带槽沙画台——沙画表演得心应手,101%,101672.0,213
6437,一台模拟手冲咖啡大师金杯法则的自动咖啡机,364%,364092.0,706
6438,【汤臣倍健|拾梦老人】蛋白粉 电影同款,102%,51124.0,143
6439,颠覆传统 取缔贴膜 开启护眼新时代,328%,328695.0,6196
6440,云南临沧邦东茶农小阮的忙麓山普洱古树生茶,227%,113547.0,478
6441,【昨明 · 太湖石茶刀】,305%,305236.0,956
6442,【带娃出门，一包搞定】多功能一体式婴儿小方背包,201%,2015689.0,4345
6443,[趣味汽车餐盘]超强吸力 拒绝打翻,463%,463960.0,14173
6444,古典音乐大师教你，陪孩子一起听懂古典音乐,114%,57226.0,175
6445,盲区镜看车宝一键通知车主移车APP定位,126%,126645.0,869
6446,可保温饭菜的餐桌转盘，和冷饭菜说再见！,131%,262532.0,214
6447,宜兴原创手工紫砂壶茶具 荷塘月色,152%,152105.0,974
6448,富氢水素杯 水素水生成器,518%,1036097.0,2563
6449,YEEHO智能焖烧杯，不插电也能焖粥,1074%,1074679.0,2101
6450,SGUAI小水怪智能随行杯 触控显温智能水杯,2297%,2297828.0,8206
6451,【德国智造】 LANZOOM 德国轻薄智能腕表,241%,483913.0,1047
6452,【自发电】全效警示灯——国际安全标准,144%,144408.0,2051
6453,乐泡便携迷你香氛 即插即用,2044%,4089546.0,4383
6454,魔吻&漫威蜘蛛侠诞生 55 周年纪念首饰,109%,54973.0,247
6455,【拾梦老人 * 绝对萌域】正版周边 助梦未来,112%,11211.3,423
6456,[百战古树]一次喝够四种优质古树茶,227%,113973.0,267
6457,#随意放更轻松#全自动手机支架,134%,268307.0,3233
6458,《拾梦老人》官方授权原创设计宠物窝,103%,25980.8,294
6459,【拾梦老人×皮尔卡丹】合作款真皮公文包男,521%,52140.0,60
6460,BULU BLUE咘噜儿童款净化器口罩,299%,299028.0,474
6461,【鱼娃娃多功能妈咪包】不做大妈，做潮妈,108%,54260.0,95
6462,白银集团个性化招财猫 招财无需高调 低调方是大雅,1052%,526466.0,1025
6463,【拾梦老人】小佩宠物随行杯,140%,42020.0,166
6464,VR动画《拾梦老人》正版授权纯棉毛巾,551%,55147.5,705
6465,pinta拾梦老人个性定制手机壳,113%,11344.0,32
6466,爱康国宾X拾梦老人，实现健康梦想,103%,103858.0,94
6467,拾梦老人-大朋VR头盔E3定位套装（双基站）,257%,128583.0,19
6468,一款精致、便捷、美学的云南普洱古树生茶,107%,53605.0,158
6469,传炉—全手工原矿紫砂壶功夫茶器,256%,128284.0,444
6470,安踏&大英博物馆 乐趣生活系列,235%,117721.0,569
6471,有一种酒叫：醉生梦死 奎韵&《射雕》,157%,78754.0,370
6472,BISONDENIM--智能防盗防丢背包,118%,118455.0,445
6473,【TOM & 拾梦老人】定制尤克里里,175%,87768.0,110
6474,【拾梦老人】官方出品精美限量角色公仔,205%,20503.0,198
6475,《少年锦衣卫》X 漫踪官方正版授权周边,469%,46913.0,617
6476,英国NANO会变形牙线,475%,47562.0,196
6477,立体雕塑画里的大圣，玄关悟空张狂如斯,525%,525097.0,964
6478,【无光夜视】茗巨M6四镜头全景行车记录仪,172%,345142.0,274
6479,大旅行家“随变包”让旅行变的更简单,329%,329950.0,1702
6480,服？无人机也玩隐身术,1078%,2157689.0,1511
6481,VR动画《拾梦老人》正版授权玻璃水杯,126%,12636.0,173
6482,像工匠一样，做一款有品的数码产品！,123%,123751.9,1981
6483,【超声波】易锁宝智能U型锁U2 Mate,112%,224664.0,1041
6484,龙泉虬龙宝剑-军工级百炼花纹钢战剑,2075%,1037646.0,750
6485,可吸2斤汗 OMG！功能运动潮袜,1030%,1030404.0,10871
6486,简而不凡——无孔无带襟碳纤维腰带,1640%,820459.0,10249
6487,【幸运石 X 拾梦老人】正版周边众筹,225%,22535.0,135
6488,GX·充电护眼台灯,102%,204516.0,684
6489,【拾梦老人】幻响马到成功蓝牙音响 电影同款,326%,97947.0,360
6490,【拾梦老人×天堂伞】拾梦人生 天堂守护,1163%,232725.0,1725
6491,这只蟹被CCTV连续报道 还登上G20国宴餐桌,104%,52104.0,132
6492,啪啪啪-便捷背夹充电壳无线充电宝,206%,412448.0,5024
6493,Smart Frog暖风机，陪你过暖冬,558%,1116289.0,5001
6494,百草味×拾梦老人“治愈系”抱抱果,114%,91331.1,2289
6495,它是加湿器 放在桌面上更是艺术品 英伦风,106%,106860.0,2010
6496,换一种方式足疗，国家专利砭石按摩拖鞋,1207%,1207079.2,7496
6497,健康腰椎坐回来---程爷爷撑腰舒缓座垫,957%,1915359.0,8282
6498,匠心手制●纯手工朱泥紫砂壶,481%,481480.0,1177
6499,Tichome问问音箱-你的智能助理,2012%,4025923.0,4221
6500,跑客-语音智能跑步机，智能健身新生活！,437%,437192.0,208
6501,妖怪名单！年度周边新品首发！,604%,60410.0,827
6502,多功能一体化氢能量杯II代,3385%,3385821.0,58099
6503,30年养蟹之路，让你吃到更纯正的大闸蟹,122%,122782.0,104
6504,皮卡丘、哆啦A梦、长草颜团子微景观充电宝,110%,55094.0,268
6505,小蚁智家宠物陪伴机器人,221%,442460.0,643
6506,你的口袋智能按摩仪,156%,156072.0,929
6507,【芳香保湿护肤】你能想到这是款过滤器吗？,503%,1007496.0,8253
6508,Inwood高频脉冲水牙线 一喷满口净爽,2347%,2347665.0,32635
6509,颜创时尚多功能双肩背包，酷是一种态度,893%,1786746.0,1151
6510,见过拼图，但你见过带陪玩机的拼图吗？,2065%,1032850.0,4093
6511,【红星×拾梦老人】品酒寻梦,162%,16222.0,134
6512,车品慧智能声控后视镜 一句话就能自动导航,374%,187302.0,171
6513,听说，无印水洗棉被罩和手工棉花被更配哦~,280%,14006.0,84
6514,【见所未见】北郡红外双摄倒车影像记录仪,141%,283214.0,766
6515,【洗涤神器】自崩解洗衣片-聪明到自动去污,222%,222260.0,734
6516,【诺梵】月饼形巧克力中秋高端礼盒,105%,105628.0,445
6517,中秋团圆，南北甜咸之战终结者，冉屿流心月饼蛋黄酥,2223%,2223954.0,3281
6518,日本新经典饭盒就是cherrybox便当盒,102%,51159.0,114
6519,智能消毒便携杀菌器让您生活更健康,273%,546192.0,4888
6520,Aipao、这个黑科技，给你来一次颠覆,2838%,5677289.0,11352
6521,女生黑科技--18K智能宝石戒指,161%,322860.0,946
6522,饮用水水源一级保护区岗南水库纯野生胖头鱼,120%,12022.0,41
6523,以芍药花制作最古老的爱情糕点,167%,16789.9,220
6524,海尔智能马桶一体机，家装季送豪礼免费安装,284%,284060.0,85
6525,舌尖上的美味----徽州火腿,1016%,508491.0,2915
6526,声氏Hexa石墨烯振膜耳机 不一样的声音,245%,245556.0,1380
6527,每客 NOVA智能微电训练系统 家庭版,197%,197260.0,154
6528,Aye护足健跑袜为跑步而生，年轻就要跑！,110%,110284.0,1267
6529,果加互联网智能锁F0-门锁也可以如此好色,2537%,2537742.0,2378
6530,学霸智能书包，一款能打电话的智能守护神器,3035%,3035393.0,1584
6531,桑浦智能实体娃娃,250%,500800.0,216
6532,举杯邀赵薇 共享团圆月,103%,103144.9,390
6533,可放水里的音响—丽博尔超级防水重低音音响,106%,213605.0,686
6534,智能旅行箱拉杆箱蓝牙监控、自动称重登机箱,218%,109314.0,243
6535,婴幼儿电动吸鼻器,263%,527948.0,1966
6536,启功大师爱徒福善书法众筹,299%,149533.0,200
6537,《依稀故人来》——阿睿、NL首张原创专辑,672%,67228.0,686
6538,一款无视天气无视场地的智能计分框,503%,503722.0,3886
6539,寒在壶● 宜兴匠心紫砂壶原矿紫砂茶器,137%,68748.0,196
6540,狮头脚 2017  温焙大乌叶 正式开启,174%,87260.0,674
6541,古陌  紫青宝鉴 古树紫芽普洱茶熟茶,273%,136948.0,574
6542,盟迪奥折叠按摩椅,104%,209895.0,79
6543,【初音未来】十周年限定款手表,370%,369474.0,926
6544,魔味悟空茶盘，生活美学创想家,129%,258253.0,600
6545,R3一款可以语音操控的掌上无人机,614%,1229864.0,3461
6546,金三马缓降伸缩直梯 一把可放进衣柜的梯子,255%,511594.0,1117
6547,玛戈隆特 大国工匠 国礼品质【丝路盛宴】,580%,290154.0,889
6548,美国BOBOT拖地机器人 智能 干湿两用,1236%,2473233.0,2067
6549,出门就要炫酷，飘派炫光电动滑板,259%,519128.0,1172
6550,小豆智慧早教机器人,476%,476612.0,1948
6551,首款祈福嘎乌本命佛防水小唐卡尘世静心神器,128%,128680.0,319
6552,WOJOK充电感应灯，有她的地方就有光,111%,223713.0,2957
6553,【视觉黑科技】慢动作艺术相框，黑科技的魔法时刻,167%,167667.0,526
6554,重温经典—吉普车茶几,132%,66204.0,33
6555,【属于孩子的中秋月饼】星猫宝宝流心奶黄,152%,15236.0,101
6556,好好吃顿饭 食刻得闲“青白相随”系列碗碟,102%,51460.0,285
6557,Aerpul眼部按摩仪II代全新升级,714%,1428552.0,5618
6558,【结束后299元】博牌“随变”防盗充电商务双肩背包,1271%,1271767.0,6111
6559,卓联博新一代机器人—真正拖扫一体的机器人,838%,838987.0,1023
6560,【小巨蛋T8】获五项设计大奖的“黑苛技”轻便型茶具,2169%,1084774.0,1178
6561,祈念柠檬杯 柠檬水的终极健康配方,104%,104281.0,646
6562,《悟空传》正品授权18K金情侣戒指手镯,102%,51388.0,11
6563,【刺绣装饰画】苏州绣娘手工刺绣梵高向日葵,131%,65920.0,15
6564,中秋献礼 苏式火腿月饼,136%,13682.0,34
6565,今年中秋 是奥利奥味的！,175%,241914.0,1753
6566,健康戒烟的首选 ZEAL电子烟 小巧便捷,242%,484308.0,1546
6567,凡米耳温计 3大黑科技只为0.1℃的精准,1596%,3193213.0,50730
6568,正版授权《诛仙手游》定制款3D全屏钢化膜,101%,20361.0,245
6569,InkCase带屏幕的手机壳，一秒变双屏,714%,1429127.0,1047
6570,玉雕/国画大师跨界设计 “玉画”,132%,66178.0,50
6571,【按摩释压神器/久坐黑科技】—神奇的坐垫,212%,212843.0,1122
6572,诛仙手游与携茶道跨界合作，原创专利，云梦醉戏莲,2037%,1018948.0,11322
6573,三国英雄在现生活中！,264%,132231.0,1782
6574,拒绝传统的圆桌食话，茶叶团圆，家人团圆。,116%,58371.0,338
6575,山水方寸间——招财纳福大型活体绿植,102%,102980.0,470
6576,宜兴原创手工紫砂壶持节壶,493%,246574.0,2339
6577,合器“小盒子”年轻人的便携式茶具,107%,53579.0,57
6578,小小守护熊包 我的守卫者 贴心守护,181%,181870.0,850
6579,私家印务所，亲手印制名片的印刷盒！,306%,306014.8,2024
6580,海盗船银饰携手《诛仙手游》打造诛仙美饰,175%,17534.0,47
6581,诛仙正版苹果6/6plus手机壳防摔个性,100%,30016.0,238
6582,《诛仙》手游官方授权全包壳背夹电池,153%,46136.0,49
6583,百花齐放，原创宜兴紫砂壶茶壶茶具,259%,129668.0,816
6584,四单元拔插式发光夜跑耳机,306%,306438.4,14820
6585,正版诛仙云梦川，云梦碧桃黄桃果捞,122%,61204.0,1136
6586,诛仙正版苹果数据线,101%,50698.0,284
6587,这个文旦，颠覆了我对普通柚子的印象,118%,59038.0,183
6588,中药古法世家 琥珀人参手工皂,104%,104139.0,646
6589,万象更新——宜兴原矿紫砂壶,237%,118854.0,213
6590,戒烟黑科技 真烟口感无焦油 电子烟,1583%,3166645.0,4784
6591,神游神垕古镇 赏中国金666杯,106%,106528.0,634
6592,慈蜂堂椴树雪蜜醇珍版之《诛仙》云梦川,107%,53775.0,279
6593,用“挑剔”的心为您甄选更适合的牛排,257%,25774.0,134
